Sources,Keywords,Total Weights
Sean Hannity,Biden,1.0
Sean Hannity,Trump,1.0
Matt Maddock,Biden,1.0
Alex Jones,Trump,1.0
Alex Jones,Russia,1.0
Tucker Carlson,Putin,1.0
Tucker Carlson,Ukraine,1.0
Pearson Sharp,Putin,1.0
Pearson Sharp,Zelensky,1.0
Tulsi Gabbard,Putin,1.0
Russian Embassy in Canada,Putin,1.0
One America News,Zelensky,1.0
Citizens for Sanity,Russia,1.0
Andy Biggs,Ukraine,1.0
George Santos,Ukraine,1.0
Bloggers,Putin,0.95
Bloggers,Ukraine,0.95
Bloggers,Russia,0.933
Donald Trump,Putin,0.9
X posts,Putin,0.9
X posts,Russia,0.9
Tucker Carlson,Russia,0.9
Tweets,Zelensky,0.9
Tweets,Russia,0.9
Tweets,Ukraine,0.9
Donald Trump,Zelensky,0.886
Viral image,Biden,0.875
Instagram posts,Zelensky,0.867
Viral image,Trump,0.867
X posts,Biden,0.867
Robert F. Kennedy Jr.,Trump,0.867
Donald Trump,Biden,0.86
Threads posts,Trump,0.857
Facebook posts,Biden,0.854
Viral image,Russia,0.85
X posts,Ukraine,0.85
Tweets,Putin,0.85
Facebook posts,Ukraine,0.845
Instagram posts,Putin,0.844
Donald Trump,Ukraine,0.84
TikTok posts,Ukraine,0.84
Facebook posts,Zelensky,0.835
Viral image,Ukraine,0.833
Instagram posts,Biden,0.831
Viral image,Putin,0.831
Facebook posts,Russia,0.831
Facebook posts,Putin,0.828
Facebook posts,Trump,0.824
Instagram posts,Russia,0.82
Instagram posts,Trump,0.817
Instagram posts,Ukraine,0.809
Social Media,Biden,0.8
Social Media,Trump,0.8
Social Media,Putin,0.8
Social Media,Russia,0.8
Social Media,Ukraine,0.8
Joe Biden,Ukraine,0.8
Viral image,Zelensky,0.8
Donald Trump,Trump,0.8
Donald Trump,Russia,0.8
X posts,Trump,0.8
Mike Johnson,Biden,0.8
Mike Johnson,Trump,0.8
Mike Johnson,Ukraine,0.8
Threads posts,Biden,0.8
Threads posts,Russia,0.8
Threads posts,Ukraine,0.8
Ron Johnson,Biden,0.8
Ron Johnson,Trump,0.8
Benny Johnson,Biden,0.8
Benny Johnson,Trump,0.8
Benny Johnson,Ukraine,0.8
Rick Scott,Biden,0.8
Ron DeSantis,Biden,0.8
Kelly Daughtry,Biden,0.8
Kelly Daughtry,Trump,0.8
