0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
3.0,7.0,1.0,5.0,1.0,1.0,0.2,0.0,0.5,0.0,56192.0,30552.0,30552.0,25640.0,0.0,7638.0,56192.0
3.0,22.0,8.0,12.0,1.0,2.0,0.16666666666666666,0.0,0.5,0.0,29397483.0,0.0,29397483.0,52538.0,0.0,2672498.4545454546,26013.0
3.0,15.0,1.0,12.0,1.0,2.0,0.16666666666666666,0.0,0.5,0.0,105391942.0,9673514.0,105391942.0,44047.0,0.0,9581085.636363637,9717561.0
3.0,15.0,1.0,12.0,1.0,2.0,0.16666666666666666,0.0,0.5,0.0,129629.0,84799.0,129629.0,25253.0,0.0,11784.454545454546,110052.0
3.0,4.0,1.0,2.0,1.0,1.0,0.5,0.0,0.5,0.0,46894.0,0.0,20809.0,46894.0,0.0,20809.0,46894.0
5.0,606.0,73.0,226.0,1.0,44.0,0.19469026548672566,0.0,0.5,124002.3125,270069020.0,86099984.0,270069020.0,28236.0,411.5,1200306.7555555555,61646740.0
3.0,17.0,1.0,12.0,1.0,4.0,0.3333333333333333,0.0,0.5,0.0,773360.0,0.0,773360.0,53468.0,0.0,70305.45454545454,25825.0
3.0,53.0,3.0,47.0,1.0,3.0,0.06382978723404255,0.0,0.5,0.0,205524.0,22981.0,92715.0,182543.0,0.0,2015.5434782608695,50751.0
9.0,1308.0,47.0,589.0,1.0,97.0,0.16468590831918506,0.0,0.5,56113.60810810811,13049940.0,10793627.0,10846652.0,2250006.0,77518.57333333333,18446.687074829933,8818856.0
3.0,8.0,5.0,2.0,1.0,1.0,0.5,0.0,0.5,0.0,57346.0,0.0,57346.0,33393.0,0.0,57346.0,25249.0
3.0,12.0,1.0,10.0,1.0,1.0,0.1,0.0,0.5,0.0,7300770.0,7224018.0,7300770.0,30475.0,0.0,811196.6666666666,7254493.0
3.0,33.0,2.0,29.0,1.0,2.0,0.06896551724137931,0.0,0.5,0.0,11937258.0,6124.0,11937258.0,178851.0,0.0,426330.64285714284,31837.0
3.0,16.0,2.0,9.0,1.0,4.0,0.4444444444444444,0.0,0.5,0.0,268020.0,129683.0,185367.0,25915.0,0.0,23170.875,26654.0
4.0,149.0,14.0,98.0,1.0,21.0,0.21428571428571427,0.0,0.5,189.5,8403726.0,24342.0,8403726.0,357700.0,379.0,86636.35051546391,29990.0
3.0,11.0,1.0,7.0,1.0,3.0,0.42857142857142855,0.0,0.5,0.0,183120.0,0.0,183120.0,53468.0,0.0,30520.0,25825.0
3.0,12.0,1.0,10.0,1.0,1.0,0.1,0.0,0.5,0.0,90528.0,42362.0,64142.0,48166.0,0.0,7126.888888888889,90528.0
3.0,150.0,4.0,132.0,1.0,12.0,0.09090909090909091,0.0,0.5,0.0,474644.0,20975.0,474644.0,25546.0,0.0,3623.236641221374,25444.0
3.0,6.0,1.0,4.0,1.0,1.0,0.25,0.0,0.5,0.0,25280.0,79.0,4731.0,25201.0,0.0,1577.0,25280.0
3.0,62.0,2.0,54.0,1.0,6.0,0.1111111111111111,0.0,0.5,0.0,442809.0,65852.0,442809.0,30185.0,0.0,8354.88679245283,91360.0
3.0,41.0,1.0,38.0,1.0,2.0,0.05263157894736842,0.0,0.5,0.0,4282713.0,1155.0,4282713.0,209859.0,0.0,115749.0,208130.0
4.0,81.0,28.0,49.0,1.0,2.0,0.04081632653061224,0.0,0.5,3225.5,223900.0,0.0,223900.0,184996.0,3225.5,4664.583333333333,25229.0
4.0,27.0,2.0,20.0,2.0,4.0,0.2,0.0,0.5,1964495.0,181700135.0,171005098.0,181700135.0,3955814.0,1964495.0,9563165.0,171005098.0
3.0,7.0,1.0,5.0,1.0,1.0,0.2,0.0,0.5,0.0,73383.0,47899.0,47899.0,25484.0,0.0,11974.75,73383.0
3.0,8.0,1.0,6.0,1.0,1.0,0.16666666666666666,0.0,0.5,0.0,5300394.0,7825.0,5300394.0,25500.0,0.0,1060078.8,33325.0
3.0,4.0,1.0,2.0,1.0,1.0,0.5,0.0,0.5,0.0,125449.0,100081.0,100081.0,25368.0,0.0,100081.0,125449.0
3.0,14.0,2.0,9.0,1.0,3.0,0.3333333333333333,0.0,0.5,0.0,669753.0,86991.0,150225.0,582762.0,0.0,18778.125,112349.0
4.0,26.0,2.0,21.0,2.0,2.0,0.09523809523809523,0.0,0.5,6.0,4796343.0,258835.0,4796343.0,25582.0,6.0,239817.15,95284.0
2.0,14.0,0.0,13.0,0.0,0.0,0.0,0.0,0.5,0.0,27127608.0,0.0,27127608.0,0.0,0.0,2260634.0,0.0
2.0,31.0,0.0,30.0,0.0,0.0,0.0,0.0,0.5,0.0,27631749.0,0.0,27631749.0,0.0,0.0,952818.9310344828,0.0
3.0,40.0,4.0,33.0,1.0,2.0,0.06060606060606061,0.0,0.5,0.0,2644278.0,4128.0,2644278.0,26030.0,0.0,82633.6875,29352.0
5.0,208.0,25.0,136.0,1.0,7.0,0.051470588235294115,0.0,0.5,283.4,237339.0,0.0,133142.0,63074.0,372.5,986.237037037037,25219.0
