0,1,2,3,4,5,6,7,8,9,10,11,12,13
2.0,6.0,0.0,0.0,0.0,3.0,7.0,1.0,5.0,1.0,1.0,0.2,0.0,0.5
3.0,14.0,1.0,1.0,0.08333333333333333,3.0,22.0,8.0,12.0,1.0,2.0,0.16666666666666666,0.0,0.5
3.0,14.0,1.0,1.0,0.08333333333333333,3.0,15.0,1.0,12.0,1.0,2.0,0.16666666666666666,0.0,0.5
2.0,13.0,0.0,0.0,0.0,3.0,15.0,1.0,12.0,1.0,2.0,0.16666666666666666,0.0,0.5
2.0,3.0,0.0,0.0,0.0,3.0,4.0,1.0,2.0,1.0,1.0,0.5,0.0,0.5
6.0,248.0,3.0,13.0,0.05752212389380531,5.0,606.0,73.0,226.0,1.0,44.0,0.19469026548672566,0.0,0.5
3.0,17.0,2.0,3.0,0.25,3.0,17.0,1.0,12.0,1.0,4.0,0.3333333333333333,0.0,0.5
3.0,50.0,2.0,1.0,0.02127659574468085,3.0,53.0,3.0,47.0,1.0,3.0,0.06382978723404255,0.0,0.5
8.0,1130.0,76.0,109.0,0.18505942275042445,9.0,1308.0,47.0,589.0,1.0,97.0,0.16468590831918506,0.0,0.5
2.0,3.0,0.0,0.0,0.0,3.0,8.0,5.0,2.0,1.0,1.0,0.5,0.0,0.5
2.0,11.0,0.0,0.0,0.0,3.0,12.0,1.0,10.0,1.0,1.0,0.1,0.0,0.5
3.0,33.0,1.0,3.0,0.10344827586206896,3.0,33.0,2.0,29.0,1.0,2.0,0.06896551724137931,0.0,0.5
2.0,10.0,0.0,0.0,0.0,3.0,16.0,2.0,9.0,1.0,4.0,0.4444444444444444,0.0,0.5
4.0,139.0,22.0,8.0,0.08163265306122448,4.0,149.0,14.0,98.0,1.0,21.0,0.21428571428571427,0.0,0.5
3.0,12.0,2.0,3.0,0.42857142857142855,3.0,11.0,1.0,7.0,1.0,3.0,0.42857142857142855,0.0,0.5
3.0,12.0,1.0,1.0,0.1,3.0,12.0,1.0,10.0,1.0,1.0,0.1,0.0,0.5
3.0,134.0,1.0,1.0,0.007575757575757576,3.0,150.0,4.0,132.0,1.0,12.0,0.09090909090909091,0.0,0.5
2.0,5.0,0.0,0.0,0.0,3.0,6.0,1.0,4.0,1.0,1.0,0.25,0.0,0.5
4.0,60.0,2.0,3.0,0.05555555555555555,3.0,62.0,2.0,54.0,1.0,6.0,0.1111111111111111,0.0,0.5
2.0,39.0,0.0,0.0,0.0,3.0,41.0,1.0,38.0,1.0,2.0,0.05263157894736842,0.0,0.5
4.0,87.0,25.0,1.0,0.02040816326530612,4.0,81.0,28.0,49.0,1.0,2.0,0.04081632653061224,0.0,0.5
5.0,27.0,1.0,4.0,0.2,4.0,27.0,2.0,20.0,2.0,4.0,0.2,0.0,0.5
2.0,6.0,0.0,0.0,0.0,3.0,7.0,1.0,5.0,1.0,1.0,0.2,0.0,0.5
3.0,10.0,3.0,1.0,0.16666666666666666,3.0,8.0,1.0,6.0,1.0,1.0,0.16666666666666666,0.0,0.5
3.0,4.0,1.0,1.0,0.5,3.0,4.0,1.0,2.0,1.0,1.0,0.5,0.0,0.5
2.0,10.0,0.0,0.0,0.0,3.0,14.0,2.0,9.0,1.0,3.0,0.3333333333333333,0.0,0.5
2.0,22.0,0.0,0.0,0.0,4.0,26.0,2.0,21.0,2.0,2.0,0.09523809523809523,0.0,0.5
